userWallet,num_deposits,num_borrows,num_repays,num_redeems,num_liquidations,sum_deposit_usd,sum_borrow_usd,sum_repay_usd,sum_redeem_usd,liquidation_ratio,utilization_rate,borrow_repay_ratio,unique_token_count,activity_duration_days,total_actions,actions_per_day,mean_txn_interval_sec,referral_count
0x02ca089c541a1e8d8cec24e066d7ffe2085cc528,7,3,5,1,0,4.106198981834868e+20,257411269.4875958,257921221.526994,1.5875851297604745e+19,0.0,6.26884548523683e-13,0.9980228341258548,4,7,16,2.0,41550.46666666667,0
0x02ca884e10a36b822c996a3339bdd21417a4d092,19,6,0,2,0,6.558660701789596e+17,5.665993724422647e+18,0.0,10597625.407823544,0.0,8.638949294749496,5.665993724422647e+18,3,48,27,0.5510204081632653,159804.57692307694,0
0x02cb1f7dca91c6987bd4f889b6ae03f18420082c,0,0,0,1,0,0.0,0.0,0.0,1149455.9763324514,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02cb44df23e2a5840eef59dbed570aad6401d3fa,1,1,0,0,0,1.1365237938343968e+16,11211106565134.107,0.0,0.0,0.0,0.000986438350517075,11211106565134.107,1,0,2,2.0,3289.0,0
0x02cb8ddf0e9fd20bedcdf13d765996870928864f,17,9,7,12,0,2.2888011115680445e+21,1.2171789855897868e+21,1.2378820317606372e+21,2.3365238500010371e+21,0.0,0.5317976207884242,0.983275428805276,3,60,45,0.7377049180327869,119464.27272727272,0
0x02cc8d6b7f7d73358ff67589691532ccd8f43fd9,1,0,0,0,0,1.6732380089305366e+17,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02ccbf14d05af1bba1c85c0e4ebe34450b4bc3a1,3,2,0,1,2,1.263347083514781e+17,4256834.346927688,0.0,2.310037678895231e+16,0.6666666666666666,3.369489194596209e-11,4256834.346927688,6,6,8,1.1428571428571428,75197.14285714286,0
0x02cd2b4bf11e6de846447526202b5f69760e7efb,1,0,0,0,0,1.44758440724371e+18,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02ce4a17f3cb0f68fa99d7b275c28c4cc318add8,1,0,0,0,0,997208.6616528182,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.0,0.0,0
0x02cee1b0ef2c8a7d31025b35b0cc271f59815035,25,41,9,10,0,4.101790169004003e+21,4.106617254513361e+20,3.408004757085567e+19,7640029464.307094,0.0,0.10011768240964238,12.04991643857102,5,21,85,3.8636363636363638,21688.29761904762,0
